=============================================
 Remaining experiments (with NCCL fix)
 Started: Sun Mar  8 21:50:51 UTC 2026
=============================================

=============================================
 [full_raw_moe] Starting training
 Config: configs/full_raw_moe.yaml
 Sun Mar  8 21:50:52 UTC 2026
=============================================
W0308 21:50:53.147000 4134707 site-packages/torch/distributed/run.py:803] 
W0308 21:50:53.147000 4134707 site-packages/torch/distributed/run.py:803] *****************************************
W0308 21:50:53.147000 4134707 site-packages/torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0308 21:50:53.147000 4134707 site-packages/torch/distributed/run.py:803] *****************************************

============================================================
 Experiment: full_raw_moe
 Config:     configs/full_raw_moe.yaml
 Parallelism: FSDP2 + compile
 MoE: 8 experts, top-2
============================================================

Loading existing tokenizer from tokenizer_16k
/opt/conda/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:4876: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  warnings.warn(  # warn only once
[rank0]:[W308 21:51:01.536728210 ProcessGroupNCCL.cpp:5068] Guessing device ID based on global rank. This can cause a hang if rank to GPU mapping is heterogeneous. You can specify device_id in init_process_group()
Tokenizer: vocab=16384, eos_id=1, pad_id=0
Using streaming data loader (sharded dataset)
Estimated tokens: ~57,500,000,000
Steps/epoch: ~219,345, Total steps: ~219,345
Warmup: 2,193 steps
Tok/step: 262,016
Initializing model ...
Parameters: 1,409,471,232 total, 390,255,360 active/token (12,582,912 embed + 1,396,888,320 non-embed)
Applying FSDP2 (fully_shard) ...
Compiling model with torch.compile ...
W&B init failed (No API key configured. Use `wandb login` to log in.), continuing without logging
  step   5600/219345 | loss 3.4174 | ppl 30.49 | lr 3.00e-04 | 281414 tok/s | MFU 8.3%
  step   5700/219345 | loss 3.3593 | ppl 28.77 | lr 3.00e-04 | 281575 tok/s | MFU 8.3%
  step   5800/219345 | loss 3.0239 | ppl 20.57 | lr 3.00e-04 | 281746 tok/s | MFU 8.3%
  step   5900/219345 | loss 3.1494 | ppl 23.32 | lr 3.00e-04 | 281871 tok/s | MFU 8.3%
  step   6000/219345 | loss 4.0164 | ppl 55.50 | lr 3.00e-04 | 282362 tok/s | MFU 8.4%
  step   6100/219345 | loss 3.2912 | ppl 26.87 | lr 3.00e-04 | 282469 tok/s | MFU 8.4%
  step   6200/219345 | loss 3.4188 | ppl 30.53 | lr 3.00e-04 | 282906 tok/s | MFU 8.4%
  step   6300/219345 | loss 3.5431 | ppl 34.57 | lr 3.00e-04 | 282976 tok/s | MFU 8.4%
  step   6400/219345 | loss 2.9783 | ppl 19.65 | lr 3.00e-04 | 283418 tok/s | MFU 8.4%
  step   6500/219345 | loss 3.4567 | ppl 31.71 | lr 3.00e-04 | 283473 tok/s | MFU 8.4%
  step   6600/219345 | loss 2.9503 | ppl 19.11 | lr 3.00e-04 | 283783 tok/s | MFU 8.4%
  step   6700/219345 | loss 2.3828 | ppl 10.84 | lr 3.00e-04 | 283869 tok/s | MFU 8.4%
  step   6800/219345 | loss 2.4709 | ppl 11.83 | lr 3.00e-04 | 284228 tok/s | MFU 8.4%
  step   6900/219345 | loss 3.2607 | ppl 26.07 | lr 3.00e-04 | 284330 tok/s | MFU 8.4%
  step   7000/219345 | loss 3.4180 | ppl 30.51 | lr 3.00e-04 | 284636 tok/s | MFU 8.4%
  step   7100/219345 | loss 3.3959 | ppl 29.84 | lr 3.00e-04 | 284847 tok/s | MFU 8.4%
  step   7200/219345 | loss 3.4987 | ppl 33.07 | lr 3.00e-04 | 285018 tok/s | MFU 8.4%
  step   7300/219345 | loss 3.0964 | ppl 22.12 | lr 3.00e-04 | 285286 tok/s | MFU 8.4%
  step   7400/219345 | loss 2.8228 | ppl 16.82 | lr 3.00e-04 | 285435 tok/s | MFU 8.4%
  step   7500/219345 | loss 2.6111 | ppl 13.61 | lr 3.00e-04 | 285753 tok/s | MFU 8.5%
  step   7600/219345 | loss 2.6098 | ppl 13.60 | lr 3.00e-04 | 285883 tok/s | MFU 8.5%
  step   7700/219345 | loss 2.9160 | ppl 18.47 | lr 3.00e-04 | 286155 tok/s | MFU 8.5%
  step   7800/219345 | loss 3.0539 | ppl 21.20 | lr 3.00e-04 | 286261 tok/s | MFU 8.5%
  step   7900/219345 | loss 3.0021 | ppl 20.13 | lr 2.99e-04 | 286331 tok/s | MFU 8.5%
  step   8000/219345 | loss 1.6543 | ppl 5.23 | lr 2.99e-04 | 286561 tok/s | MFU 8.5%
  step   8100/219345 | loss 3.1971 | ppl 24.46 | lr 2.99e-04 | 286576 tok/s | MFU 8.5%
  step   8200/219345 | loss 3.3895 | ppl 29.65 | lr 2.99e-04 | 286802 tok/s | MFU 8.5%
  step   8300/219345 | loss 3.1436 | ppl 23.19 | lr 2.99e-04 | 286860 tok/s | MFU 8.5%
  step   8400/219345 | loss 3.4776 | ppl 32.38 | lr 2.99e-04 | 286957 tok/s | MFU 8.5%
  step   8500/219345 | loss 3.1416 | ppl 23.14 | lr 2.99e-04 | 287221 tok/s | MFU 8.5%
  step   8600/219345 | loss 2.6288 | ppl 13.86 | lr 2.99e-04 | 287296 tok/s | MFU 8.5%
  step   8700/219345 | loss 2.1695 | ppl 8.75 | lr 2.99e-04 | 287415 tok/s | MFU 8.5%
  step   8800/219345 | loss 3.3314 | ppl 27.98 | lr 2.99e-04 | 287575 tok/s | MFU 8.5%
  step   8900/219345 | loss 3.4109 | ppl 30.29 | lr 2.99e-04 | 287674 tok/s | MFU 8.5%
  step   9000/219345 | loss 3.4206 | ppl 30.59 | lr 2.99e-04 | 287958 tok/s | MFU 8.5%
  step   9100/219345 | loss 2.7502 | ppl 15.65 | lr 2.99e-04 | 288052 tok/s | MFU 8.5%
  step   9200/219345 | loss 2.9070 | ppl 18.30 | lr 2.99e-04 | 288168 tok/s | MFU 8.5%
  step   9300/219345 | loss 2.5596 | ppl 12.93 | lr 2.99e-04 | 288375 tok/s | MFU 8.5%
  step   9400/219345 | loss 3.1099 | ppl 22.42 | lr 2.99e-04 | 288463 tok/s | MFU 8.5%
  step   9500/219345 | loss 3.1280 | ppl 22.83 | lr 2.99e-04 | 288583 tok/s | MFU 8.5%
  step   9600/219345 | loss 2.2432 | ppl 9.42 | lr 2.99e-04 | 288722 tok/s | MFU 8.5%
  step   9700/219345 | loss 3.1653 | ppl 23.70 | lr 2.99e-04 | 288801 tok/s | MFU 8.5%
  step   9800/219345 | loss 3.1257 | ppl 22.78 | lr 2.99e-04 | 289001 tok/s | MFU 8.6%
  step   9900/219345 | loss 3.2088 | ppl 24.75 | lr 2.99e-04 | 289129 tok/s | MFU 8.6%
